26.09.15 13:59
Projektstatistik

                     	Segmente	Wörter	Zeichen (ohne Leerzeichen)	Zeichen (mit Leerzeichen)	#Files	
Gesamt:              	    2327	  9128	                     66387	                    72089	    95	
Verbleibend:         	       5	    16	                       101	                      112	     1	
Einmalig:            	    1923	  8392	                     60719	                    66099	    94	
Verbleibend einmalig:	       5	    16	                       101	                      112	     1	


Statistik einzelner Dateien:

Dateiname                                                                                                                                	Segmente Gesamt	Verbleibende Segmente	Einmalige Segmente	Verbleibende einmalige Segmente	Wörter Gesamt	Verbleibende Wörter:	Einmalige Wörter	Verbleibende einmalige Wörter	Zeichen Gesamt (ohne Leerzeichen)	Verbleibende Zeichen (ohne Leerzeichen)	Einmalige Zeichen (ohne Leerzeichen)	Verbleibende einmalige Zeichen (ohne Leerzeichen)	Zeichen Gesamt (mit Leerzeichen)	Verbleibende Zeichen (mit Leerzeichen)	Einmalige Zeichen (mit Leerzeichen)	Verbleibende einmalige Zeichen (mit Leerzeichen)	
Lib/src/org/jphototagger/lib/io/Bundle.properties                                                                                        	              8	                    0	                 8	                              0	           43	                   0	              43	                            0	                              288	                                      0	                                 288	                                                0	                             323	                                     0	                                323	                                               0	
Lib/src/org/jphototagger/lib/io/filefilter/Bundle.properties                                                                             	              2	                    0	                 2	                              0	            4	                   0	               4	                            0	                               29	                                      0	                                  29	                                                0	                              31	                                     0	                                 31	                                               0	
Lib/src/org/jphototagger/lib/swing/Bundle.properties                                                                                     	             57	                    0	                49	                              0	          146	                   0	             135	                            0	                             1019	                                      0	                                 943	                                                0	                            1100	                                     0	                               1021	                                               0	
Lib/src/org/jphototagger/lib/swing/inputverifier/Bundle.properties                                                                       	              8	                    0	                 6	                              0	           41	                   0	              33	                            0	                              196	                                      0	                                 156	                                                0	                             229	                                     0	                                183	                                               0	
Lib/src/org/jphototagger/lib/swingx/Bundle.properties                                                                                    	              3	                    0	                 3	                              0	            8	                   0	               8	                            0	                               40	                                      0	                                  40	                                                0	                              45	                                     0	                                 45	                                               0	
Lib/src/org/jphototagger/lib/thirdparty/Bundle.properties                                                                                	              3	                    0	                 2	                              0	            4	                   0	               3	                            0	                               25	                                      0	                                  16	                                                0	                              26	                                     0	                                 17	                                               0	
Lib/src/org/jphototagger/lib/util/logging/Bundle.properties                                                                              	             25	                    0	                22	                              0	           65	                   0	              62	                            0	                              388	                                      0	                                 370	                                                0	                             423	                                     0	                                405	                                               0	
Lib/test/org/jphototagger/lib/util/Bundle.properties                                                                                     	              2	                    0	                 2	                              0	            5	                   0	               5	                            0	                               27	                                      0	                                  27	                                                0	                              30	                                     0	                                 30	                                               0	
LookAndFeels/src/org/jphototagger/laf/defaults/Bundle.properties                                                                         	             12	                    0	                12	                              0	           28	                   0	              28	                            0	                              222	                                      0	                                 222	                                                0	                             239	                                     0	                                239	                                               0	
LookAndFeels/src/org/jphototagger/laf/jgoodies/Bundle.properties                                                                         	              9	                    0	                 9	                              0	           56	                   0	              56	                            0	                              327	                                      0	                                 327	                                                0	                             362	                                     0	                                362	                                               0	
Modules/DisplayFilesWithoutMetaData/src/org/jphototagger/dfwm/Bundle.properties                                                          	              5	                    0	                 5	                              0	           30	                   0	              30	                            0	                              192	                                      0	                                 192	                                                0	                             217	                                     0	                                217	                                               0	
Modules/Exif/src/org/jphototagger/exifmodule/Bundle.properties                                                                           	             15	                    0	                10	                              0	           58	                   0	              49	                            0	                              395	                                      0	                                 334	                                                0	                             438	                                     0	                                373	                                               0	
