02.02.13 22:19
Projektstatistik

                                 	Segmente	Wörter	Zeichen (ohne Leerzeichen)	Zeichen (mit Leerzeichen)	
Insgesamt:                       	    2454	  9643	                     55779	                    61929	
Verbleibend:                     	    2454	  9643	                     55779	                    61929	
Eindeutig:                       	    1972	  8645	                     49867	                    55533	
Verbleibende eindeutige Segmente:	    1972	  8645	                     49867	                    55533	


Statistik einzelner Dateien:

Dateiname                                                                                      	Segmente gesamt	Verbleibende Segmente	Eindeutige Segmente	Eindeutige verbleibende Segmente	Wörter gesamt:	Verbleibende Wörter:	Eindeutige Wörter	Eindeutige verbleibende Wörter	Zeichen gesamt (ohne Leerzeichen)	Verbleibende Zeichen (ohne Leerzeichen)	Eindeutige Zeichen (ohne Leerzeichen)	Eindeutige verbleibende Zeichen (ohne Leerzeichen)	Zeichen gesamt (mit Leerzeichen)	Verbleibende Zeichen (mit Leerzeichen)	Eindeutige Zeichen (mit Leerzeichen)	Eindeutige verbleibende Zeichen (mit Leerzeichen)	
Localization/src/org/jphototagger/importfiles/subdircreators/Bundle.properties                 	              3	                    3	                  3	                               3	            39	                  39	               39	                            39	                              220	                                    220	                                  220	                                               220	                             248	                                   248	                                 248	                                              248	
Localization/src/org/jphototagger/iptcmodule/Bundle.properties                                 	             24	                   24	                 18	                              18	           116	                 116	              107	                           107	                              614	                                    614	                                  567	                                               567	                             695	                                   695	                                 645	                                              645	
Localization/src/org/jphototagger/iptcmodule/IptcRecordDataSetNumberTranslations.properties    	             77	                   77	                 65	                              65	           158	                 158	              141	                           141	                             1069	                                   1069	                                  927	                                               927	                            1146	                                  1146	                                1002	                                             1002	
Localization/src/org/jphototagger/laf/defaults/Bundle.properties                               	             12	                   12	                 12	                              12	            33	                  33	               33	                            33	                              201	                                    201	                                  201	                                               201	                             223	                                   223	                                 223	                                              223	
Localization/src/org/jphototagger/laf/jgoodies/Bundle.properties                               	             11	                   11	                 10	                              10	            56	                  56	               52	                            52	                              312	                                    312	                                  287	                                               287	                             345	                                   345	                                 318	                                              318	
Localization/src/org/jphototagger/lib/awt/Bundle.properties                                    	              7	                    7	                  6	                               6	            61	                  61	               58	                            58	                              294	                                    294	                                  283	                                               283	                             340	                                   340	                                 327	                                              327	
Localization/src/org/jphototagger/lib/beansbinding/Bundle.properties                           	              2	                    2	                  2	                               2	            10	                  10	               10	                            10	                               53	                                     53	                                   53	                                                53	                              61	                                    61	                                  61	                                               61	
Localization/src/org/jphototagger/lib/help/Bundle.properties                                   	             18	                   18	                 17	                              17	            44	                  44	               43	                            43	                              239	                                    239	                                  235	                                               235	                             265	                                   265	                                 261	                                              261	
Localization/src/org/jphototagger/lib/io/Bundle.properties                                     	              8	                    8	                  8	                               8	            39	                  39	               39	                            39	                              224	                                    224	                                  224	                                               224	                             255	                                   255	                                 255	                                              255	
Localization/src/org/jphototagger/lib/io/filefilter/Bundle.properties                          	              2	                    2	                  2	                               2	             4	                   4	                4	                             4	                               23	                                     23	                                   23	                                                23	                              25	                                    25	                                  25	                                               25	
